VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.6,53,0.965,1027.594567,0,0,74,90,2021-10-22 18:00:00,18,22,10,4,4,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1342.8602899875,280.81565053593215,1718.730471,964.4058897,1505.288984,1176.575185,1185.554137,-477.69441699999993,-148.98061799999982,1153.0671,1027.594567
11.6,52,0.965,1008.20599,0,0,74,90,2021-10-22 19:00:00,19,22,10,4,4,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1335.8449068625,287.18139021896036,1718.730471,964.4058897,1027.594567,1176.575185,1147.310455,-19.388577000000055,-168.36919499999988,1059.207,1008.2059899999999
11.6,50,0.965,969.428837,0,0,74,90,2021-10-22 20:00:00,20,22,10,4,4,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1329.6248237375,293.6329751203986,1718.730471,964.4058897,1008.20599,1118.710832,1118.710832,-38.777153,-149.28199499999994,953.14325,969.4288370000002
11.6,48,0.965,930.6516835,0,0,69,94,2021-10-22 21:00:00,21,22,10,4,4,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1323.39636905,300.6565713164603,1718.730471,930.6516835,969.428837,1080.134596,1080.134596,-38.777153500000054,-149.4829125000001,973.3764,930.6516835
11.7,44,0.965,860.4516643,0,0,69,94,2021-10-22 22:00:00,22,22,10,4,4,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1316.6539282708334,309.39073387835043,1718.730471,860.4516643,930.6516835,1022.270243,1022.270243,-70.20001920000004,-161.8185787000001,997.0174,860.4516643
11.7,43,0.965,840.8959446,0,0,69,94,2021-10-22 23:00:00,23,22,10,4,4,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1311.5076805583333,316.45123042085874,1718.730471,840.8959446,860.4516643,964.4058897,945.1177719,-19.55571969999994,-123.50994509999998,992.4049,840.8959446
11.5,71,0.95,1343.50851,0,0,73,84,2021-10-23 00:00:00,0,23,10,5,4,1,0.0,1.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1322.23326085,312.820537744123,1718.730471,840.8959446,840.8959446,1086.094583,2144.036413,502.6125653999999,257.41392699999983,1005.7809,1343.5085099999997
11.5,71,0.95,1343.50851,0,0,73,84,2021-10-23 01:00:00,1,23,10,5,4,1,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1332.9588411416667,308.7586710981942,1718.730471,840.8959446,1343.50851,1086.094583,2144.036413,0.0,257.41392699999983,1191.8102,1343.5085099999997
11.5,80,0.95,1513.812406,0,0,73,84,2021-10-23 02:00:00,2,23,10,5,4,1,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1350.7804171,306.2236703715699,1718.730471,840.8959446,1343.50851,1086.094583,1756.022391,170.30389600000012,427.71782299999995,1232.1917,1513.812406
11.4,80,0.95,1500.64882,0,0,83,35,2021-10-23 03:00:00,3,23,10,5,4,1,0.7071067811865476,0.7071067811865476,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1368.0535103083332,302.3113028595865,1718.730471,840.8959446,1513.812406,1086.094583,1337.732121,-13.163586000000123,414.55423699999983,1403.3944,1500.64882
